,Group,Element,Action,Value,Strategy,XPath
247,Additional Details,Save & Continue,click,,data-testid+text,"//*[@data-testid=""button"" and contains(., ""Save & Continue"")]"
248,Other Products,div,click,,absolute,/html/body/div[1]/div[1]/div[1]/div[2]/div[2]/div[1]/div[1]/div[1]/div[1]/div[1]/div[1]/div[1]/div[1]/label[1]/div[1]/div[1]
249,Other Products,hasBeneficiary,click,,absolute,/html/body/div[1]/div[1]/div[1]/div[2]/div[2]/div[1]/div[1]/div[1]/div[1]/div[1]/div[1]/div[1]/div[1]/label[1]/input[1]
250,Other Products,hasBeneficiary,Input,true,absolute,/html/body/div[1]/div[1]/div[1]/div[2]/div[2]/div[1]/div[1]/div[1]/div[1]/div[1]/div[1]/div[1]/div[1]/label[1]/input[1]
251,Other Products,div,click,,absolute,/html/body/div[1]/div[1]/div[1]/div[2]/div[2]/div[1]/div[1]/div[1]/div[1]/div[1]/div[2]/div[1]/div[1]/label[2]/div[1]/div[1]
252,Other Products,isBeneficiaryTecuMember,click,,absolute,/html/body/div[1]/div[1]/div[1]/div[2]/div[2]/div[1]/div[1]/div[1]/div[1]/div[1]/div[2]/div[1]/div[1]/label[2]/input[1]
253,Other Products,div,click,,absolute,/html/body/div[1]/div[1]/div[1]/div[2]/div[2]/div[1]/div[1]/div[1]/div[1]/div[1]/div[2]/div[1]/div[1]/label[1]/div[1]/div[1]
254,Other Products,isBeneficiaryTecuMember,click,,absolute,/html/body/div[1]/div[1]/div[1]/div[2]/div[2]/div[1]/div[1]/div[1]/div[1]/div[1]/div[2]/div[1]/div[1]/label[1]/input[1]
255,Other Products,isBeneficiaryTecuMember,Input,true,absolute,/html/body/div[1]/div[1]/div[1]/div[2]/div[2]/div[1]/div[1]/div[1]/div[1]/div[1]/div[2]/div[1]/div[1]/label[1]/input[1]
256,Other Products,svg,click,,absolute,/html/body/div[1]/div[1]/div[1]/div[2]/div[2]/div[1]/div[1]/div[1]/div[1]/div[1]/div[3]/div[1]/div[1]/div[1]/div[1]/svg[1]
257,Other Products,customerId,click,,placeholder,"//input[@placeholder=""Enter number""]"
258,Other Products,customerId,Input,121668,placeholder,"//input[@placeholder=""Enter number""]"
259,Other Products,YYYY-,click,,absolute,/html/body/div[1]/div[1]/div[1]/div[2]/div[2]/div[1]/div[1]/div[1]/div[1]/div[1]/div[3]/div[1]/div[1]/div[16]/div[1]/div[2]/div[1]/div[1]/div[1]/div[1]/div[1]/div[1]/span[1]
260,Other Products,Search,click,,data-testid+text,"//*[@data-testid=""button"" and contains(., ""Search"")]"
261,Other Products,div,click,,absolute,/html/body/div[1]/div[1]/div[1]/div[2]/div[2]/div[1]/div[1]/div[1]/div[1]/div[1]/div[3]/div[1]/div[2]/div[1]/div[1]/label[1]/div[1]
262,Other Products,documentType,click,,absolute,/html/body/div[1]/div[1]/div[1]/div[2]/div[2]/div[1]/div[1]/div[1]/div[1]/div[1]/div[3]/div[1]/div[2]/div[1]/div[1]/label[1]/input[1]
263,Other Products,documentType,Input,BENEFICIARY-DRIVERS-PERMIT,absolute,/html/body/div[1]/div[1]/div[1]/div[2]/div[2]/div[1]/div[1]/div[1]/div[1]/div[1]/div[3]/div[1]/div[2]/div[1]/div[1]/label[1]/input[1]
264,Other Products,National ID,click,,text,"//label[contains(., ""National ID"")]"
265,Other Products,documentType,click,,absolute,/html/body/div[1]/div[1]/div[1]/div[2]/div[2]/div[1]/div[1]/div[1]/div[1]/div[1]/div[3]/div[1]/div[2]/div[1]/div[1]/label[2]/input[1]
266,Other Products,documentType,Input,BENEFICIARY-NATIONAL-IDENTIFICATION-CARD,absolute,/html/body/div[1]/div[1]/div[1]/div[2]/div[2]/div[1]/div[1]/div[1]/div[1]/div[1]/div[3]/div[1]/div[2]/div[1]/div[1]/label[2]/input[1]
267,Other Products,Passport,click,,text,"//label[contains(., ""Passport"")]"
268,Other Products,documentType,click,,absolute,/html/body/div[1]/div[1]/div[1]/div[2]/div[2]/div[1]/div[1]/div[1]/div[1]/div[1]/div[3]/div[1]/div[2]/div[1]/div[1]/label[3]/input[1]
269,Other Products,documentType,Input,BENEFICIARY-PASSPORT,absolute,/html/body/div[1]/div[1]/div[1]/div[2]/div[2]/div[1]/div[1]/div[1]/div[1]/div[1]/div[3]/div[1]/div[2]/div[1]/div[1]/label[3]/input[1]
270,Other Products,Birth Certificate,click,,text,"//span[contains(., ""Birth Certificate"")]"
271,Other Products,documentType,click,,absolute,/html/body/div[1]/div[1]/div[1]/div[2]/div[2]/div[1]/div[1]/div[1]/div[1]/div[1]/div[3]/div[1]/div[2]/div[1]/div[1]/label[4]/input[1]
272,Other Products,documentType,Input,BENEFICIARY-BIRTH-CERTIFICATE,absolute,/html/body/div[1]/div[1]/div[1]/div[2]/div[2]/div[1]/div[1]/div[1]/div[1]/div[1]/div[3]/div[1]/div[2]/div[1]/div[1]/label[4]/input[1]
273,Other Products,div,click,,absolute,/html/body/div[1]/div[1]/div[1]/div[2]/div[2]/div[1]/div[1]/div[1]/div[1]/div[1]/div[3]/div[1]/div[2]/div[1]/div[1]/label[5]/div[1]/div[1]
274,Other Products,documentType,click,,absolute,/html/body/div[1]/div[1]/div[1]/div[2]/div[2]/div[1]/div[1]/div[1]/div[1]/div[1]/div[3]/div[1]/div[2]/div[1]/div[1]/label[5]/input[1]
275,Other Products,documentType,Input,BENEFICIARY-OTHER-DOCUMENTS,absolute,/html/body/div[1]/div[1]/div[1]/div[2]/div[2]/div[1]/div[1]/div[1]/div[1]/div[1]/div[3]/div[1]/div[2]/div[1]/div[1]/label[5]/input[1]
276,Other Products,div,click,,absolute,/html/body/div[1]/div[1]/div[1]/div[2]/div[2]/div[1]/div[1]/div[1]/div[1]/div[1]/div[3]/div[1]/div[2]/div[1]/div[1]/label[4]/div[1]/div[1]
277,Other Products,documentType,click,,absolute,/html/body/div[1]/div[1]/div[1]/div[2]/div[2]/div[1]/div[1]/div[1]/div[1]/div[1]/div[3]/div[1]/div[2]/div[1]/div[1]/label[4]/input[1]
278,Other Products,documentType,Input,BENEFICIARY-BIRTH-CERTIFICATE,absolute,/html/body/div[1]/div[1]/div[1]/div[2]/div[2]/div[1]/div[1]/div[1]/div[1]/div[1]/div[3]/div[1]/div[2]/div[1]/div[1]/label[4]/input[1]
279,Other Products,birthCertificatePinNo,click,,id,"//*[@id=""birthCertificatePinNo""]"
280,Other Products,Select country,click,,data-testid+text,"//*[@data-testid=""dropdown-button"" and contains(., ""Select country"")]"
281,Other Products,TRINIDAD AND TOBAGO,click,,data-testid,"//*[@data-testid=""option-0""]"
282,Other Products,div,click,,absolute,/html/body/div[1]/div[1]/div[1]/div[2]/div[2]/div[1]/div[1]/div[1]/div[1]/div[1]/div[1]/div[1]/div[1]/label[2]/div[1]
283,Other Products,hasBeneficiary,click,,absolute,/html/body/div[1]/div[1]/div[1]/div[2]/div[2]/div[1]/div[1]/div[1]/div[1]/div[1]/div[1]/div[1]/div[1]/label[2]/input[1]
284,Other Products,hasBeneficiary,Input,false,absolute,/html/body/div[1]/div[1]/div[1]/div[2]/div[2]/div[1]/div[1]/div[1]/div[1]/div[1]/div[1]/div[1]/div[1]/label[2]/input[1]
285,Other Products,div,click,,absolute,/html/body/div[1]/div[1]/div[1]/div[2]/div[2]/div[1]/div[1]/div[1]/div[1]/div[2]/div[1]/div[1]/div[1]/label[1]/div[1]/div[1]
286,Other Products,hasJointPartner,click,,absolute,/html/body/div[1]/div[1]/div[1]/div[2]/div[2]/div[1]/div[1]/div[1]/div[1]/div[2]/div[1]/div[1]/div[1]/label[1]/input[1]
287,Other Products,hasJointPartner,Input,true,absolute,/html/body/div[1]/div[1]/div[1]/div[2]/div[2]/div[1]/div[1]/div[1]/div[1]/div[2]/div[1]/div[1]/div[1]/label[1]/input[1]
288,Other Products,svg,click,,absolute,/html/body/div[1]/div[1]/div[1]/div[2]/div[2]/div[1]/div[1]/div[1]/div[1]/div[2]/div[2]/div[1]/div[1]/div[1]/svg[1]
289,Other Products,customerId,click,,id,"//*[@id=""customerId""]"
290,Other Products,customerId,Input,121669,id,"//*[@id=""customerId""]"
291,Other Products,:r1p:-year,click,,id,"//*[@id="":r1p:-year""]"
292,Other Products,Search,click,,data-testid+text,"//*[@data-testid=""button"" and contains(., ""Search"")]"
293,Other Products,img,click,,absolute,/html/body/div[1]/div[1]/div[1]/div[2]/div[2]/div[1]/div[1]/div[1]/div[1]/div[2]/div[2]/div[1]/div[6]/div[1]/div[1]/div[1]/div[1]/div[1]/img[1]
294,Other Products,Select relation,click,,data-testid+text,"//*[@data-testid=""dropdown-button"" and contains(., ""Select relation"")]"
295,Other Products,Brother,click,,data-testid,"//*[@data-testid=""option-0""]"
296,Other Products,No,click,,absolute,/html/body/div[1]/div[1]/div[1]/div[2]/div[2]/div[1]/div[1]/div[1]/div[1]/div[2]/div[1]/div[1]/div[1]/label[2]
297,Other Products,hasJointPartner,click,,absolute,/html/body/div[1]/div[1]/div[1]/div[2]/div[2]/div[1]/div[1]/div[1]/div[1]/div[2]/div[1]/div[1]/div[1]/label[2]/input[1]
298,Other Products,hasJointPartner,Input,false,absolute,/html/body/div[1]/div[1]/div[1]/div[2]/div[2]/div[1]/div[1]/div[1]/div[1]/div[2]/div[1]/div[1]/div[1]/label[2]/input[1]
299,Other Products,div,click,,absolute,/html/body/div[1]/div[1]/div[1]/div[2]/div[2]/div[1]/div[1]/div[1]/div[1]/div[3]/div[1]/div[1]/label[1]/div[1]/div[1]
300,Other Products,isApplyingForLincuCardApplication,click,,absolute,/html/body/div[1]/div[1]/div[1]/div[2]/div[2]/div[1]/div[1]/div[1]/div[1]/div[3]/div[1]/div[1]/label[1]/input[1]
301,Other Products,isApplyingForLincuCardApplication,Input,true,absolute,/html/body/div[1]/div[1]/div[1]/div[2]/div[2]/div[1]/div[1]/div[1]/div[1]/div[3]/div[1]/div[1]/label[1]/input[1]
302,Other Products,div,click,,absolute,/html/body/div[1]/div[1]/div[1]/div[2]/div[2]/div[1]/div[1]/div[1]/div[1]/div[3]/div[1]/div[1]/label[2]/div[1]/div[1]
303,Other Products,isApplyingForLincuCardApplication,click,,absolute,/html/body/div[1]/div[1]/div[1]/div[2]/div[2]/div[1]/div[1]/div[1]/div[1]/div[3]/div[1]/div[1]/label[2]/input[1]
304,Other Products,isApplyingForLincuCardApplication,Input,false,absolute,/html/body/div[1]/div[1]/div[1]/div[2]/div[2]/div[1]/div[1]/div[1]/div[1]/div[3]/div[1]/div[1]/label[2]/input[1]
305,Other Products,div,click,,absolute,/html/body/div[1]/div[1]/div[1]/div[2]/div[2]/div[1]/div[1]/div[1]/div[1]/div[4]/div[1]/div[1]/div[1]/label[1]/div[1]/div[1]
306,Other Products,isApplyingForFipApplication,click,,absolute,/html/body/div[1]/div[1]/div[1]/div[2]/div[2]/div[1]/div[1]/div[1]/div[1]/div[4]/div[1]/div[1]/div[1]/label[1]/input[1]
307,Other Products,isApplyingForFipApplication,Input,true,absolute,/html/body/div[1]/div[1]/div[1]/div[2]/div[2]/div[1]/div[1]/div[1]/div[1]/div[4]/div[1]/div[1]/div[1]/label[1]/input[1]
308,Other Products,Choose an option,click,,data-testid+text,"//*[@data-testid=""dropdown-button"" and contains(., ""Choose an option"")]"
309,Other Products,Plan A,click,,data-testid,"//*[@data-testid=""option-0""]"
310,Other Products,Plan A,click,,data-testid+text,"//*[@data-testid=""dropdown-button"" and contains(., ""Plan A"")]"
311,Other Products,Plan B,click,,data-testid,"//*[@data-testid=""option-1""]"
312,Other Products,Plan B,click,,data-testid+text,"//*[@data-testid=""dropdown-button"" and contains(., ""Plan B"")]"
313,Other Products,Plan C,click,,data-testid,"//*[@data-testid=""option-2""]"
314,Other Products,Plan C,click,,data-testid+text,"//*[@data-testid=""dropdown-button"" and contains(., ""Plan C"")]"
315,Other Products,Plan D,click,,data-testid,"//*[@data-testid=""option-3""]"
316,Other Products,Plan Type *Plan D,click,,absolute,/html/body/div[1]/div[1]/div[1]/div[2]/div[2]/div[1]/div[1]/div[1]/div[1]/div[4]/div[2]/div[2]/div[1]
317,Other Products,Plan D,click,,data-testid+text,"//*[@data-testid=""dropdown-button"" and contains(., ""Plan D"")]"
318,Other Products,Plan E,click,,data-testid,"//*[@data-testid=""option-4""]"
319,Other Products,Plan E,click,,data-testid+text,"//*[@data-testid=""dropdown-button"" and contains(., ""Plan E"")]"
320,Other Products,Plan F,click,,data-testid,"//*[@data-testid=""option-5""]"
321,Other Products,Plan F,click,,data-testid+text,"//*[@data-testid=""dropdown-button"" and contains(., ""Plan F"")]"
322,Other Products,Plan G,click,,data-testid,"//*[@data-testid=""option-6""]"
323,Other Products,div,click,,absolute,/html/body/div[1]/div[1]/div[1]/div[2]/div[2]/div[1]/div[1]/div[1]/div[1]/div[4]/div[2]/div[3]/div[1]/div[1]/label[1]/div[1]/div[1]
324,Other Products,hadFamilyIndemnityPlanCertificate,click,,absolute,/html/body/div[1]/div[1]/div[1]/div[2]/div[2]/div[1]/div[1]/div[1]/div[1]/div[4]/div[2]/div[3]/div[1]/div[1]/label[1]/input[1]
325,Other Products,hadFamilyIndemnityPlanCertificate,Input,true,absolute,/html/body/div[1]/div[1]/div[1]/div[2]/div[2]/div[1]/div[1]/div[1]/div[1]/div[4]/div[2]/div[3]/div[1]/div[1]/label[1]/input[1]
326,Other Products,div,click,,absolute,/html/body/div[1]/div[1]/div[1]/div[2]/div[2]/div[1]/div[1]/div[1]/div[1]/div[4]/div[2]/div[3]/div[1]/div[1]/label[2]/div[1]/div[1]
327,Other Products,hadFamilyIndemnityPlanCertificate,click,,absolute,/html/body/div[1]/div[1]/div[1]/div[2]/div[2]/div[1]/div[1]/div[1]/div[1]/div[4]/div[2]/div[3]/div[1]/div[1]/label[2]/input[1]
328,Other Products,hadFamilyIndemnityPlanCertificate,Input,false,absolute,/html/body/div[1]/div[1]/div[1]/div[2]/div[2]/div[1]/div[1]/div[1]/div[1]/div[4]/div[2]/div[3]/div[1]/div[1]/label[2]/input[1]
329,Other Products,div,click,,absolute,/html/body/div[1]/div[1]/div[1]/div[2]/div[2]/div[1]/div[1]/div[1]/div[1]/div[4]/div[2]/div[4]/div[1]/div[1]/label[1]/div[1]/div[1]
330,Other Products,presentlyCoveredUnderAnotherFip,click,,absolute,/html/body/div[1]/div[1]/div[1]/div[2]/div[2]/div[1]/div[1]/div[1]/div[1]/div[4]/div[2]/div[4]/div[1]/div[1]/label[1]/input[1]
331,Other Products,presentlyCoveredUnderAnotherFip,Input,true,absolute,/html/body/div[1]/div[1]/div[1]/div[2]/div[2]/div[1]/div[1]/div[1]/div[1]/div[4]/div[2]/div[4]/div[1]/div[1]/label[1]/input[1]
332,Other Products,div,click,,absolute,/html/body/div[1]/div[1]/div[1]/div[2]/div[2]/div[1]/div[1]/div[1]/div[1]/div[4]/div[2]/div[4]/div[1]/div[1]/label[2]/div[1]/div[1]
333,Other Products,presentlyCoveredUnderAnotherFip,click,,absolute,/html/body/div[1]/div[1]/div[1]/div[2]/div[2]/div[1]/div[1]/div[1]/div[1]/div[4]/div[2]/div[4]/div[1]/div[1]/label[2]/input[1]
334,Other Products,presentlyCoveredUnderAnotherFip,Input,false,absolute,/html/body/div[1]/div[1]/div[1]/div[2]/div[2]/div[1]/div[1]/div[1]/div[1]/div[4]/div[2]/div[4]/div[1]/div[1]/label[2]/input[1]
335,Other Products,deductionTypeDesc,click,,name,"//input[@name=""deductionTypeDesc""]"
336,Other Products,deductionTypeDesc,Input,True,name,"//input[@name=""deductionTypeDesc""]"
337,Other Products,div,click,,absolute,/html/body/div[1]/div[1]/div[1]/div[2]/div[2]/div[1]/div[1]/div[1]/div[1]/div[4]/div[2]/div[6]/div[1]/div[1]/label[1]/div[1]/div[1]
338,Other Products,criticalIllnessRider,click,,absolute,/html/body/div[1]/div[1]/div[1]/div[2]/div[2]/div[1]/div[1]/div[1]/div[1]/div[4]/div[2]/div[6]/div[1]/div[1]/label[1]/input[1]
339,Other Products,criticalIllnessRider,Input,true,absolute,/html/body/div[1]/div[1]/div[1]/div[2]/div[2]/div[1]/div[1]/div[1]/div[1]/div[4]/div[2]/div[6]/div[1]/div[1]/label[1]/input[1]
340,Other Products,Choose an option,click,,absolute,/html/body/div[1]/div[1]/div[1]/div[2]/div[2]/div[1]/div[1]/div[1]/div[1]/div[4]/div[2]/div[7]/div[2]/div[1]/button[1]
341,Other Products,"$150,000.00",click,,data-testid,"//*[@data-testid=""option-2""]"
342,Other Products,Choose an option,click,,data-testid+text,"//*[@data-testid=""dropdown-button"" and contains(., ""Choose an option"")]"
343,Other Products,"$150,000.00",click,,data-testid+text,"//*[@data-testid=""dropdown-button"" and contains(., ""$150,000.00"")]"
344,Other Products,"$50,000.00",click,,data-testid,"//*[@data-testid=""option-0""]"
345,Other Products,"$50,000.00",click,,data-testid+text,"//*[@data-testid=""dropdown-button"" and contains(., ""$50,000.00"")]"
346,Other Products,"$100,000.00",click,,data-testid,"//*[@data-testid=""option-1""]"
347,Other Products,"$100,000.00",click,,data-testid+text,"//*[@data-testid=""dropdown-button"" and contains(., ""$100,000.00"")]"
348,Other Products,"$150,000.00",click,,data-testid,"//*[@data-testid=""option-2""]"
349,Other Products,"$150,000.00",click,,data-testid+text,"//*[@data-testid=""dropdown-button"" and contains(., ""$150,000.00"")]"
350,Other Products,"$300,000.00",click,,data-testid,"//*[@data-testid=""option-3""]"
351,Other Products,"$300,000.00",click,,data-testid+text,"//*[@data-testid=""dropdown-button"" and contains(., ""$300,000.00"")]"
352,Other Products,"$300,000.00",click,,data-testid,"//*[@data-testid=""option-3""]"
353,Other Products,"$300,000.00",click,,data-testid+text,"//*[@data-testid=""dropdown-button"" and contains(., ""$300,000.00"")]"
354,Other Products,"$450,000.00",click,,data-testid,"//*[@data-testid=""option-4""]"
355,Other Products,"$450,000.00",click,,data-testid+text,"//*[@data-testid=""dropdown-button"" and contains(., ""$450,000.00"")]"
356,Other Products,"$600,000.00",click,,data-testid,"//*[@data-testid=""option-5""]"
357,Other Products,Choose an option,click,,data-testid+text,"//*[@data-testid=""dropdown-button"" and contains(., ""Choose an option"")]"
358,Other Products,Stroke,click,,data-testid,"//*[@data-testid=""option-4""]"
359,Other Products,Stroke,click,,data-testid+text,"//*[@data-testid=""dropdown-button"" and contains(., ""Stroke"")]"
360,Other Products,Paralysis,click,,data-testid,"//*[@data-testid=""option-3""]"
361,Other Products,Paralysis,click,,data-testid+text,"//*[@data-testid=""dropdown-button"" and contains(., ""Paralysis"")]"
362,Other Products,Major Burns,click,,data-testid,"//*[@data-testid=""option-2""]"
363,Other Products,Major Burns,click,,data-testid+text,"//*[@data-testid=""dropdown-button"" and contains(., ""Major Burns"")]"
364,Other Products,Heart Attack,click,,data-testid,"//*[@data-testid=""option-1""]"
365,Other Products,Heart Attack,click,,data-testid+text,"//*[@data-testid=""dropdown-button"" and contains(., ""Heart Attack"")]"
366,Other Products,Cancer,click,,data-testid,"//*[@data-testid=""option-0""]"
367,Other Products,remarks,click,,id,"//*[@id=""remarks""]"
368,Other Products,div,click,,absolute,/html/body/div[1]/div[1]/div[1]/div[2]/div[2]/div[1]/div[1]/div[1]/div[1]/div[4]/div[2]/div[6]/div[1]/div[1]/label[2]/div[1]
369,Other Products,criticalIllnessRider,click,,absolute,/html/body/div[1]/div[1]/div[1]/div[2]/div[2]/div[1]/div[1]/div[1]/div[1]/div[4]/div[2]/div[6]/div[1]/div[1]/label[2]/input[1]
370,Other Products,criticalIllnessRider,Input,false,absolute,/html/body/div[1]/div[1]/div[1]/div[2]/div[2]/div[1]/div[1]/div[1]/div[1]/div[4]/div[2]/div[6]/div[1]/div[1]/label[2]/input[1]
371,Other Products,div,click,,absolute,/html/body/div[1]/div[1]/div[1]/div[2]/div[2]/div[1]/div[1]/div[1]/div[1]/div[4]/div[2]/div[7]/div[1]/div[1]/label[1]/div[1]/div[1]
372,Other Products,diagnosedWithConditions,click,,absolute,/html/body/div[1]/div[1]/div[1]/div[2]/div[2]/div[1]/div[1]/div[1]/div[1]/div[4]/div[2]/div[7]/div[1]/div[1]/label[1]/input[1]
373,Other Products,diagnosedWithConditions,Input,true,absolute,/html/body/div[1]/div[1]/div[1]/div[2]/div[2]/div[1]/div[1]/div[1]/div[1]/div[4]/div[2]/div[7]/div[1]/div[1]/label[1]/input[1]
374,Other Products,diagnosedConditionsDetails,click,,id,"//*[@id=""diagnosedConditionsDetails""]"
375,Other Products,div,click,,absolute,/html/body/div[1]/div[1]/div[1]/div[2]/div[2]/div[1]/div[1]/div[1]/div[1]/div[4]/div[2]/div[7]/div[1]/div[1]/label[2]/div[1]/div[1]
376,Other Products,diagnosedWithConditions,click,,absolute,/html/body/div[1]/div[1]/div[1]/div[2]/div[2]/div[1]/div[1]/div[1]/div[1]/div[4]/div[2]/div[7]/div[1]/div[1]/label[2]/input[1]
377,Other Products,diagnosedWithConditions,Input,false,absolute,/html/body/div[1]/div[1]/div[1]/div[2]/div[2]/div[1]/div[1]/div[1]/div[1]/div[4]/div[2]/div[7]/div[1]/div[1]/label[2]/input[1]
378,Other Products,div,click,,absolute,/html/body/div[1]/div[1]/div[1]/div[2]/div[2]/div[1]/div[1]/div[1]/div[1]/div[4]/div[2]/div[8]/div[1]/div[1]/label[1]/div[1]/div[1]
379,Other Products,receivedMedicalAttentionLast5Years,click,,absolute,/html/body/div[1]/div[1]/div[1]/div[2]/div[2]/div[1]/div[1]/div[1]/div[1]/div[4]/div[2]/div[8]/div[1]/div[1]/label[1]/input[1]
380,Other Products,receivedMedicalAttentionLast5Years,Input,true,absolute,/html/body/div[1]/div[1]/div[1]/div[2]/div[2]/div[1]/div[1]/div[1]/div[1]/div[4]/div[2]/div[8]/div[1]/div[1]/label[1]/input[1]
381,Other Products,medicalAttentionDetails,click,,id,"//*[@id=""medicalAttentionDetails""]"
382,Other Products,div,click,,absolute,/html/body/div[1]/div[1]/div[1]/div[2]/div[2]/div[1]/div[1]/div[1]/div[1]/div[4]/div[2]/div[8]/div[1]/div[1]/label[2]/div[1]/div[1]
383,Other Products,receivedMedicalAttentionLast5Years,click,,absolute,/html/body/div[1]/div[1]/div[1]/div[2]/div[2]/div[1]/div[1]/div[1]/div[1]/div[4]/div[2]/div[8]/div[1]/div[1]/label[2]/input[1]
384,Other Products,receivedMedicalAttentionLast5Years,Input,false,absolute,/html/body/div[1]/div[1]/div[1]/div[2]/div[2]/div[1]/div[1]/div[1]/div[1]/div[4]/div[2]/div[8]/div[1]/div[1]/label[2]/input[1]
385,Other Products,Select,click,,absolute,/html/body/div[1]/div[1]/div[1]/div[2]/div[2]/div[1]/div[1]/div[1]/div[1]/div[4]/div[2]/div[10]/div[1]/div[1]/button[1]
386,Other Products,1,click,,data-testid,"//*[@data-testid=""option-0""]"
387,Other Products,div,click,,absolute,/html/body/div[1]/div[1]/div[1]/div[2]/div[2]/div[1]/div[1]/div[1]/div[1]/div[4]/div[2]/div[9]/div[1]/div[1]/label[2]/div[1]/div[1]
388,Other Products,wouldLikeToAddInsureds,click,,absolute,/html/body/div[1]/div[1]/div[1]/div[2]/div[2]/div[1]/div[1]/div[1]/div[1]/div[4]/div[2]/div[9]/div[1]/div[1]/label[2]/input[1]
389,Other Products,wouldLikeToAddInsureds,Input,false,absolute,/html/body/div[1]/div[1]/div[1]/div[2]/div[2]/div[1]/div[1]/div[1]/div[1]/div[4]/div[2]/div[9]/div[1]/div[1]/label[2]/input[1]
390,Other Products,div,click,,absolute,/html/body/div[1]/div[1]/div[1]/div[2]/div[2]/div[1]/div[1]/div[1]/div[1]/div[4]/div[2]/div[9]/div[1]/div[1]/label[1]/div[1]
391,Other Products,wouldLikeToAddInsureds,click,,absolute,/html/body/div[1]/div[1]/div[1]/div[2]/div[2]/div[1]/div[1]/div[1]/div[1]/div[4]/div[2]/div[9]/div[1]/div[1]/label[1]/input[1]
392,Other Products,wouldLikeToAddInsureds,Input,true,absolute,/html/body/div[1]/div[1]/div[1]/div[2]/div[2]/div[1]/div[1]/div[1]/div[1]/div[4]/div[2]/div[9]/div[1]/div[1]/label[1]/input[1]
393,Other Products,Select,click,,absolute,/html/body/div[1]/div[1]/div[1]/div[2]/div[2]/div[1]/div[1]/div[1]/div[1]/div[4]/div[2]/div[10]/div[1]/div[1]/button[1]
394,Other Products,2,click,,data-testid,"//*[@data-testid=""option-1""]"
395,Other Products,Choose an option,click,,absolute,/html/body/div[1]/div[1]/div[1]/div[2]/div[2]/div[1]/div[1]/div[1]/div[1]/div[4]/div[2]/div[11]/div[1]/div[2]/div[1]/button[1]
396,Other Products,Drivers Permit,click,,data-testid,"//*[@data-testid=""option-0""]"
397,Other Products,DRIVERS-PERMIT,click,,data-testid+text,"//*[@data-testid=""dropdown-button"" and contains(., ""DRIVERS-PERMIT"")]"
398,Other Products,National ID,click,,data-testid,"//*[@data-testid=""option-1""]"
399,Other Products,NATIONAL-IDENTIFICATION-CARD,click,,data-testid+text,"//*[@data-testid=""dropdown-text"" and contains(., ""NATIONAL-IDENTIFICATION-CARD"")]"
400,Other Products,Passport,click,,data-testid,"//*[@data-testid=""option-2""]"
401,Other Products,PASSPORT,click,,data-testid+text,"//*[@data-testid=""dropdown-button"" and contains(., ""PASSPORT"")]"
402,Other Products,Birth Certificate,click,,data-testid,"//*[@data-testid=""option-3""]"
403,Other Products,BIRTH-CERTIFICATE,click,,data-testid+text,"//*[@data-testid=""dropdown-button"" and contains(., ""BIRTH-CERTIFICATE"")]"
404,Other Products,Passport,click,,data-testid,"//*[@data-testid=""option-2""]"
405,Other Products,Select Document,click,,class,"//label[contains(@class, ""hover:bg-[#cf6d18]"")]"
406,Other Products,upload-input-0,click,,id,"//*[@id=""upload-input-0""]"
407,Other Products,upload-input-0,Input,C:\fakepath\AVINASH_PASS.png,id,"//*[@id=""upload-input-0""]"
408,Other Products,div,click,,absolute,/html/body/div[1]/div[1]/div[1]/div[2]/div[2]/div[1]/div[1]/div[1]/div[1]/div[4]/div[2]/div[11]/div[1]/div[1]/div[1]/div[1]/label[1]/div[1]/div[1]
409,Other Products,familyMember-0-isTecuMember,click,,absolute,/html/body/div[1]/div[1]/div[1]/div[2]/div[2]/div[1]/div[1]/div[1]/div[1]/div[4]/div[2]/div[11]/div[1]/div[1]/div[1]/div[1]/label[1]/input[1]
410,Other Products,familyMember-0-isTecuMember,Input,true,absolute,/html/body/div[1]/div[1]/div[1]/div[2]/div[2]/div[1]/div[1]/div[1]/div[1]/div[4]/div[2]/div[11]/div[1]/div[1]/div[1]/div[1]/label[1]/input[1]
411,Other Products,Choose an option,click,,absolute,/html/body/div[1]/div[1]/div[1]/div[2]/div[2]/div[1]/div[1]/div[1]/div[1]/div[4]/div[2]/div[11]/div[1]/div[2]/div[1]/button[1]
412,Other Products,Family Member to be Insured 1I,click,,absolute,/html/body/div[1]/div[1]/div[1]/div[2]/div[2]/div[1]/div[1]/div[1]/div[1]/div[4]/div[2]/div[11]/div[1]
413,Other Products,svg,click,,absolute,/html/body/div[1]/div[1]/div[1]/div[2]/div[2]/div[1]/div[1]/div[1]/div[1]/div[4]/div[2]/div[11]/div[1]/div[4]/div[1]/div[1]/svg[1]
414,Other Products,customerId,click,,id,"//*[@id=""customerId""]"
415,Other Products,customerId,Input,121660,id,"//*[@id=""customerId""]"
416,Other Products,:r2p:-year,click,,id,"//*[@id="":r2p:-year""]"
417,Other Products,Search,click,,data-testid+text,"//*[@data-testid=""button"" and contains(., ""Search"")]"
418,Other Products,Choose an option,click,,absolute,/html/body/div[1]/div[1]/div[1]/div[2]/div[2]/div[1]/div[1]/div[1]/div[1]/div[4]/div[2]/div[11]/div[1]/div[5]/div[9]/div[1]/button[1]
419,Other Products,Parent / Parent-in-Law,click,,data-testid,"//*[@data-testid=""option-0""]"
